Segment,Road_Name
Sebastopol Street to LaTrobe Street,Pleasant Street South
Winter Street to La Trobe Street,Pleasant Street South
Bell Street to Warwick Street,Pleasant Street South
Warwick Street to Leith Street,Pleasant Street South
Leith Street to Cooke Street,Pleasant Street South
Cooke Street to Rubicon Street,Pleasant Street South
Bell Street to Rubicon Street,Pleasant Street South
Eyre Street to Nightingale Street,Pleasant Street South
Kent street to Eyre street,Pleasant Street South
Eyre Street to Urquhart Street,Pleasant Street South
Essex Street to South Street,Pleasant Street South
Salisbury Avenue to Waller Street,Pleasant Street South
Sturt Street to Church Street,Pleasant Street North
Church Street to Dana Street,Pleasant Street North
Wendouree Parade to Mair Street,Ripon Street North
Mair Street to Wendouree Parade,Ripon Street North
Humffray Street North to Peel Street North,Scott Parade
Peel Street North to Rowe Street,Scott Parade
Doveton Street South inter,Sturt Street
Dawson Street South inter,Sturt Street
Drummond Street South inter,Sturt Street
Talbot Street South to Ripon Street South,Sturt Street
Talbot Street South to Ripon Street South,Sturt Street
Doveton Street North inter,Sturt Street
Armstrong Street North to Lydiard Street North,Sturt Street
Ripon Street to Talbot Street,Sturt Street
Grenville Street to Albert Street,Sturt Street
Albert Street to Lydiard Street,Sturt Street
Lydiard Street to Armstrong Street,Sturt Street
Armstrong Street to Doveton Street,Sturt Street
Doveton Street to Dawson Street,Sturt Street
Dawson Street to Lyons Street,Sturt Street
Lyons Street to Raglan Street,Sturt Street
Raglan Street to Errard Street ,Sturt Street
Errard Street to Drummond Street,Sturt Street
Drummond Street to Windemere Street,Sturt Street
Windemere Street to Ascot Street,Sturt Street
Ascot Street to Talbot Street,Sturt Street
Ripon Street to Pleasant Street,Sturt Street
Pleasant Street to Ripon Street,Sturt Street
Talbot Street to Ascot Street,Sturt Street
Ascot Street to Drummond Street,Sturt Street
Drummond Street to Errard Street ,Sturt Street
Errard Street to Raglan Street,Sturt Street
Raglan Street to Lyons Street,Sturt Street
Lyons Street to Dawson Street,Sturt Street
Dawson Street to Doveton Street,Sturt Street
Doveton Street to Armstrong Street,Sturt Street
Armstrong Street to Lydiard Street,Sturt Street
Lydiard Street to Camp Street,Sturt Street
Camp Street to Grenville Street,Sturt Street
Smythes Road to Hill Street,Tait Street
Hill Street to Webster Drive,Tait Street
Webster Drive to Hamish Court,Tait Street
Menhennet Drive to Southern Court,Tait Street
Southern Court to Parkside Road,Tait Street
Parkside Road to Smythes Road,Tait Street
Wendouree Parade to Drummond Street,Webster Street
Drummond Street to Frank Street,Webster Street
Frank Street to Loch Avenue,Webster Street
Loch Avenue to Johnson Street,Webster Street
Johnson Street to Lyons Street,Webster Street
Lyons Street to Clayton Street,Webster Street
Claxton Street to Creswick Road,Webster Street
Creswick Road to Davey Street,Webster Street
Davey Street to Lyons Street,Webster Street
Lyons Street to McWilliam Street,Webster Street
McWilliam Street to Drummond Street,Webster Street
Drummond Street to Wendouree Parade,Webster Street
Forest Street to Stafford Court,Wendouree Parade
Stafford Court to Dowling Street,Wendouree Parade
Dowling Street to Martin Avenue,Wendouree Parade
Martin Avenue to Haddon Street,Wendouree Parade
Cardigan Street to Gnarr Street,Wendouree Parade
Gnarr Street to Macarthur Street,Wendouree Parade
Macarthur Street to Devon Street,Wendouree Parade
Devon Street to Exeter Street,Wendouree Parade
Exeter Street to Mill Street,Wendouree Parade
Mill Street to Victoria Avenue,Wendouree Parade
Victoria Avenue to Webster Street,Wendouree Parade
White Avenue to Morrison Street,Wendouree Parade
Morrison Street to Hamilton Avenue,Wendouree Parade
Webster Street to Pleasant Street North,Wendouree Parade
Main Road to Little Dodds Street,York Street
Little Dodds Street to Larter Street ,York Street
Larter Street to King Street South,York Street
King Street South to Otway Street South,York Street
Otway Street South to Joseph Street,York Street
Joseph Street to Rodier Street,York Street
Rodier Street to Regan Street,York Street
Regan Street to Kline Street,York Street
Kline Street to Lovenear Grove,York Street
Lovenear Grove to Rodier Street,York Street
Rodier Street to Joseph Street,York Street
Joseph Street to Otway Street,York Street
Otway Street to Larter Street,York Street
Larter Street to Little Dodds Street,York Street
Little Dodds Street to Main Road,York Street
